topology,maps,best_f1,mean_f1,mean_alignment,mean_2q
domain,2,0.6230065359477124,0.6122689075630252,0.0661222770393092,15.0
full,1,0.5688888888888888,0.5688888888888888,0.0613860633181706,20.0
linear,3,0.5767693744164332,0.5707646567398889,0.0499572349325343,10.0
ring,4,0.6071967248437836,0.5602792047993286,0.0684423444663819,12.5
