fold,C,gamma,n_train,n_valid,accuracy,precision,recall,f1,specificity,balanced_accuracy,mcc,tn,fp,fn,tp
3,1.0,scale,64,16,0.8125,0.7777777777777778,0.875,0.8235294117647058,0.75,0.8125,0.629940788348712,6,2,1,7
4,1.0,scale,64,16,0.4375,0.0,0.0,0.0,0.875,0.4375,-0.2581988897471611,7,1,8,0
0,1.0,auto,64,16,0.4375,0.42857142857142855,0.375,0.4,0.5,0.4375,-0.1259881576697424,4,4,5,3
1,1.0,auto,64,16,0.4375,0.46153846153846156,0.75,0.5714285714285714,0.125,0.4375,-0.16012815380508713,1,7,2,6
2,1.0,auto,64,16,0.3125,0.36363636363636365,0.5,0.42105263157894735,0.125,0.3125,-0.40451991747794525,1,7,4,4
3,1.0,auto,64,16,0.8125,0.7777777777777778,0.875,0.8235294117647058,0.75,0.8125,0.629940788348712,6,2,1,7
4,1.0,auto,64,16,0.4375,0.0,0.0,0.0,0.875,0.4375,-0.2581988897471611,7,1,8,0
0,1.0,0.01,64,16,0.4375,0.4,0.25,0.3076923076923077,0.625,0.4375,-0.13483997249264842,5,3,6,2
1,1.0,0.01,64,16,0.5625,0.5384615384615384,0.875,0.6666666666666666,0.25,0.5625,0.16012815380508713,2,6,1,7
2,1.0,0.01,64,16,0.5,0.5,0.375,0.42857142857142855,0.625,0.5,0.0,5,3,5,3
3,1.0,0.01,64,16,0.625,0.6666666666666666,0.5,0.5714285714285714,0.75,0.625,0.2581988897471611,6,2,4,4
4,1.0,0.01,64,16,0.5625,0.5333333333333333,1.0,0.6956521739130435,0.125,0.5625,0.2581988897471611,1,7,0,8
0,10.0,scale,64,16,0.4375,0.42857142857142855,0.375,0.4,0.5,0.4375,-0.1259881576697424,4,4,5,3
1,10.0,scale,64,16,0.625,0.625,0.625,0.625,0.625,0.625,0.25,5,3,3,5
2,10.0,scale,64,16,0.4375,0.45454545454545453,0.625,0.5263157894736842,0.25,0.4375,-0.13483997249264842,2,6,3,5
3,10.0,scale,64,16,0.6875,0.8,0.5,0.6153846153846154,0.875,0.6875,0.40451991747794525,7,1,4,4
4,10.0,scale,64,16,0.4375,0.4,0.25,0.3076923076923077,0.625,0.4375,-0.13483997249264842,5,3,6,2
0,10.0,auto,64,16,0.4375,0.42857142857142855,0.375,0.4,0.5,0.4375,-0.1259881576697424,4,4,5,3
1,10.0,auto,64,16,0.625,0.625,0.625,0.625,0.625,0.625,0.25,5,3,3,5
2,10.0,auto,64,16,0.4375,0.45454545454545453,0.625,0.5263157894736842,0.25,0.4375,-0.13483997249264842,2,6,3,5
3,10.0,auto,64,16,0.6875,0.8,0.5,0.6153846153846154,0.875,0.6875,0.40451991747794525,7,1,4,4
4,10.0,auto,64,16,0.4375,0.4,0.25,0.3076923076923077,0.625,0.4375,-0.13483997249264842,5,3,6,2
0,10.0,0.01,64,16,0.4375,0.42857142857142855,0.375,0.4,0.5,0.4375,-0.1259881576697424,4,4,5,3
1,10.0,0.01,64,16,0.5,0.5,0.75,0.6,0.25,0.5,0.0,2,6,2,6
2,10.0,0.01,64,16,0.5,0.5,0.5,0.5,0.5,0.5,0.0,4,4,4,4
3,10.0,0.01,64,16,0.75,0.75,0.75,0.75,0.75,0.75,0.5,6,2,2,6
4,10.0,0.01,64,16,0.5,0.5,0.875,0.6363636363636364,0.125,0.5,0.0,1,7,1,7
